,Unnamed: 0,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,0,phase1/blobs/NA22UCDtemporalgyri _4G8/NA22UCDtemporalgyri _4G8_27_21_0.jpg,NP1,0.0,1.0,0.0,phase1/10x_tiles/NA22UCDtemporalgyri _4G8/0/27/21.jpg,[564   0 256 256],None (label),0,0,0,0,0,1
1,1,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],None (label),0,0,0,0,0,1
2,2,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_13_23_7.jpg,NA (prediction),0.9946813,0.83516943,4.9790992e-06,40-3_UTSW_temporal_6E10/0/13/23.jpg,"[275, 136, 256, 256]",NP1,0,1,0,0,0,1
3,3,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],None (label),0,0,0,0,0,1
4,4,phase1/blobs/20-3_UTSW_temporal_6E10/20-3_UTSW_temporal_6E10_16_2_57.jpg,NP1,1.0,0.0,0.0,phase1/10x_tiles/20-3_UTSW_temporal_6E10/0/16/2.jpg,[ 528 1280  256  256],None (label),0,0,0,0,0,1
5,5,phase1/blobs/cw17-3/cw17-3_17_31_24.jpg,NP1,1.0,0.0,1.0,phase1/10x_tiles/cw17-3/0/17/31.jpg,[1053  854  256  256],None (label),0,0,0,0,0,1
6,6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_21_34.jpg,NA (prediction),0.0035661670000000007,0.99883837,0.0001931636,17-3_UTSW_temporal_6E10/0/16/21.jpg,"[1015, 880, 256, 256]",NP1,0,0,0,0,0,1
7,7,phase1/blobs/47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_18_29_8.jpg,NP1,0.0,0.0,1.0,phase1/10x_tiles/47-3_UTSW_temporal_6E10/0/18/29.jpg,[  36 1001  256  256],None (label),0,0,0,0,0,1
8,8,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],None (label),0,0,0,0,0,1
9,9,phase1/blobs/44-3_UTSW_temporal_6E10/44-3_UTSW_temporal_6E10_14_2_18.jpg,NP1,0.0,1.0,0.0,phase1/10x_tiles/44-3_UTSW_temporal_6E10/0/14/2.jpg,[ 575 1209  256  256],None (label),0,0,0,0,0,1
10,10,cw15-29/cw15-29_3_20_33.jpg,NA (prediction),0.0053845295,0.19247797,0.7136821999999999,cw15-29/0/3/20.jpg,"[1252, 880, 256, 256]",NP1,0,0,0,0,0,1
11,11,cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,cw15-29/0/1/32.jpg,"[223, 471, 256, 256]",consensus_of_2,0,0,0,0,0,1
12,12,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,NA37UCDtemporalgyri _4G8/0/18/10.jpg,"[1158, 75, 256, 256]",consensus_of_2,0,1,0,0,0,0
13,13,cw13-0/cw13-0_17_20_21.jpg,NA (prediction),4.953047e-07,0.0028555058,0.9989796,cw13-0/0/17/20.jpg,"[762, 412, 256, 256]",NP1,0,0,0,1,0,0
14,14,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_20_24_14.jpg,NA (prediction),0.99760216,0.029512169,0.00013808414,8-3_UTSW_temporal_6E10/0/20/24.jpg,"[1280, 924, 256, 256]",NP1,1,0,0,0,0,0
15,15,phase1/blobs/cw17-41/cw17-41_23_28_53.jpg,consensus_of_2,0.0,1.0,5.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1246 1271  256  256],None (label),0,0,1,0,0,0
16,16,phase1/blobs/cw17-34/cw17-34_23_31_2.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/cw17-34/0/23/31.jpg,[370   0 256 256],None (label),1,0,0,0,0,0
17,17,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_8.jpg,NA (prediction),0.0034282971000000003,0.053380124,0.9749448,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[523, 236, 256, 256]",consensus_of_2,0,0,0,1,0,0
18,18,phase1/blobs/25-3_UTSW_temporal_6E10/25-3_UTSW_temporal_6E10_8_6_62.jpg,NP1,0.0,1.0,0.0,phase1/10x_tiles/25-3_UTSW_temporal_6E10/0/8/6.jpg,[317 896 256 256],None (label),0,1,0,0,0,0
19,19,cw18-48/cw18-48_8_19_4.jpg,NA (prediction),0.95476836,0.048242114,3.5373316e-05,cw18-48/0/8/19.jpg,"[217, 685, 256, 256]",NP1,0,1,0,0,0,0
20,20,phase1/blobs/cw17-11/cw17-11_20_15_33.jpg,NP1,0.0,1.0,1.0,phase1/10x_tiles/cw17-11/0/20/15.jpg,[1280 1280  256  256],None (label),0,1,1,0,1,0
21,21,phase1/blobs/cw17-3/cw17-3_9_11_21.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/9/11.jpg,[ 947 1015  256  256],None (label),0,0,1,0,0,0
22,22,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_6_17_16.jpg,NA (prediction),0.87771744,0.97702825,0.0011442875,40-3_UTSW_temporal_6E10/0/6/17.jpg,"[1050, 356, 256, 256]",NP1,0,1,0,0,0,0
23,23,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_6_22_17.jpg,NA (prediction),0.95196015,0.62685543,1.9316167e-06,NA37UCDtemporalgyri _4G8/0/6/22.jpg,"[795, 639, 256, 256]",NP1,0,1,0,0,0,0
24,24,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_20_32_19.jpg,NA (prediction),0.96527326,0.091924734,0.0011089451,NA28UCDtemporalgyri _4G8/0/20/32.jpg,"[1057, 1280, 256, 256]",NP1,1,0,0,0,0,0
25,25,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_15_23_13.jpg,consensus_of_2,4.0,0.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/15/23.jpg,[840 864 256 256],None (label),1,0,0,0,0,0
26,26,phase1/blobs/cw17-41/cw17-41_23_28_35.jpg,consensus_of_2,1.0,4.0,0.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1239  834  256  256],None (label),0,1,0,0,0,0
27,27,phase1/blobs/cw18-33/cw18-33_4_29_18.jpg,NP1,0.0,1.0,0.0,phase1/10x_tiles/cw18-33/0/4/29.jpg,[   0 1280  256  256],None (label),0,1,0,0,0,0
28,28,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_16_21.jpg,NA (prediction),0.9882244,0.17883652,0.3577546,NA28UCDtemporalgyri _4G8/0/27/16.jpg,"[843, 123, 256, 256]",consensus_of_2,0,1,1,0,1,0
29,29,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_9_14.jpg,NA (prediction),0.9931961,0.58150005,4.7064193e-05,NA37UCDtemporalgyri _4G8/0/8/9.jpg,"[853, 258, 256, 256]",consensus_of_2,1,0,0,0,0,0
