,username,timestamp,imagename,cored,diffuse,CAA,negative,flag,notsure
0,NP4,2019-01-25 22:17:04,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0,0,0,1,0,0
1,NP4,2019-01-21 18:29:12,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0,1,0,0,1,0
2,NP4,2019-01-24 21:00:36,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0,0,1,0,1,0
3,NP4,2019-01-28 23:50:56,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0,1,0,0,0,0
4,NP4,2019-02-07 22:46:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0,1,0,0,0,0
5,NP4,2019-01-25 19:44:33,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0,0,1,0,1,0
6,NP4,2019-02-11 23:28:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0,1,0,0,0,0
7,NP4,2019-01-30 17:49:11,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0,1,0,0,0,0
8,NP4,2019-01-22 20:29:13,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0,1,0,0,1,0
9,NP4,2019-01-31 23:49:06,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0,1,1,0,1,0
10,NP4,2019-01-30 17:48:14,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,0,1,1,0,1,0
11,NP4,2019-01-22 20:41:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,0,1,1,0,1,0
12,NP4,2019-02-12 00:21:54,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,0,1,0,0,1,0
13,NP4,2019-01-25 22:28:06,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,0,1,0,0,0,0
14,NP4,2019-02-20 00:15:38,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,0,1,0,0,0,0
15,NP4,2019-02-11 23:32:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,0,1,0,0,0,0
16,NP4,2019-02-11 22:55:25,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,0,1,0,0,0,0
17,NP4,2019-02-12 21:21:06,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,0,1,0,0,0,0
18,NP4,2019-01-31 23:48:01,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,0,1,0,0,0,0
