,Unnamed: 0,username,timestamp,imagename,cored,diffuse,CAA,negative,flag,notsure
0,0,NP5,2019-02-15 14:38:22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0,0,0,1,0,0
1,1,NP5,2019-02-13 17:56:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0,1,0,0,1,0
2,2,NP5,2019-02-14 22:04:41,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0,0,1,0,0,0
3,3,NP5,2019-02-15 15:13:15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0,1,0,0,0,0
4,4,NP5,2019-02-18 20:41:17,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0,1,0,0,0,0
5,5,NP5,2019-02-15 14:13:11,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0,0,1,0,0,0
6,6,NP5,2019-02-19 22:38:32,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0,1,0,0,0,0
7,7,NP5,2019-02-15 17:12:38,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0,1,0,0,0,0
8,8,NP5,2019-02-13 18:36:01,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0,1,0,0,0,0
9,9,NP5,2019-02-15 22:08:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0,0,1,0,0,0
10,10,NP5,2019-02-15 17:12:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,0,1,0,0,1,0
11,11,NP5,2019-02-13 18:42:24,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,0,1,1,0,1,0
12,12,NP5,2019-02-20 17:01:52,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,0,1,0,0,0,0
13,13,NP5,2019-02-15 14:54:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,0,1,0,0,0,0
14,14,NP5,2019-02-21 19:53:38,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,0,1,0,0,0,0
15,15,NP5,2019-02-19 22:50:11,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,1,0,0,0,0,0
16,16,NP5,2019-02-19 22:21:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,0,1,0,0,0,0
17,17,NP5,2019-02-20 17:45:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,0,1,0,0,0,0
18,18,NP5,2019-02-15 22:07:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,0,1,0,0,0,0
19,19,NP5,2019-02-21 16:26:54,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,0,1,0,0,0,0
20,20,NP5,2019-02-15 21:58:04,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,0,1,0,0,0,0
21,21,NP5,2019-02-20 18:41:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_4.jpg,0,1,0,0,0,0
22,22,NP5,2019-02-15 16:53:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_5.jpg,0,0,0,0,1,1
23,23,NP5,2019-02-18 18:24:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_6.jpg,0,1,0,0,0,0
24,24,NP5,2019-02-19 17:52:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_7.jpg,0,1,0,0,1,0
25,25,NP5,2019-02-21 19:01:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_0.jpg,0,1,0,0,0,0
26,26,NP5,2019-02-13 18:43:19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_1.jpg,0,1,0,0,0,0
27,27,NP5,2019-02-15 22:05:21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_10.jpg,0,1,0,0,0,0
28,28,NP5,2019-02-18 21:11:47,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_11.jpg,0,1,0,0,1,0
29,29,NP5,2019-02-15 14:35:16,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_13.jpg,0,1,0,0,0,0
30,30,NP5,2019-02-18 20:51:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_14.jpg,0,1,0,0,0,0
31,31,NP5,2019-02-21 20:56:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_15.jpg,0,1,0,0,0,0
32,32,NP5,2019-02-18 19:11:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_19.jpg,0,1,0,0,0,0
33,33,NP5,2019-02-19 22:30:58,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_2.jpg,1,0,0,0,0,0
34,34,NP5,2019-02-15 17:32:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_21.jpg,0,1,0,0,0,0
35,35,NP5,2019-02-21 21:30:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_4.jpg,0,1,0,0,0,0
36,36,NP5,2019-02-13 18:38:15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_5.jpg,0,1,0,0,0,0
37,37,NP5,2019-02-20 17:49:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_6.jpg,0,1,0,0,0,0
38,38,NP5,2019-02-20 20:45:21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_9.jpg,0,1,0,0,0,0
39,39,NP5,2019-02-21 18:27:37,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_0.jpg,0,1,0,0,1,0
40,40,NP5,2019-02-21 21:35:22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_10.jpg,0,1,0,0,0,0
41,41,NP5,2019-02-18 17:19:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_13.jpg,0,1,0,0,0,0
42,42,NP5,2019-02-20 16:55:10,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_14.jpg,0,1,0,0,0,0
43,43,NP5,2019-02-19 22:18:36,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_15.jpg,0,1,0,0,0,0
44,44,NP5,2019-02-13 17:54:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_16.jpg,0,1,0,0,0,0
45,45,NP5,2019-02-18 19:19:04,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_17.jpg,0,1,0,0,0,0
46,46,NP5,2019-02-18 16:49:55,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_20.jpg,0,0,1,0,0,0
