,username,timestamp,imagename,cored,diffuse,CAA,negative,flag,notsure
0,UG2,2019-02-17 21:57:40,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0,0,0,0,0,1
1,UG2,2019-02-16 19:27:21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0,1,0,0,0,0
2,UG2,2019-02-17 00:10:44,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0,0,1,0,0,1
3,UG2,2019-02-17 23:24:40,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0,1,0,0,0,0
4,UG2,2019-02-19 23:19:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0,1,0,0,0,0
5,UG2,2019-02-17 21:21:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0,0,1,0,0,0
6,UG2,2019-02-20 06:35:39,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0,1,0,0,0,0
7,UG2,2019-02-18 01:59:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0,1,0,0,0,0
8,UG2,2019-02-16 20:10:42,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0,1,0,0,0,0
9,UG2,2019-02-18 20:45:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0,0,1,0,0,0
10,UG2,2019-02-18 01:59:15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,0,1,1,0,1,0
11,UG2,2019-02-16 22:53:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,0,1,1,0,1,0
12,UG2,2019-02-20 17:33:22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,0,1,0,0,0,0
13,UG2,2019-02-17 22:20:21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,0,1,0,0,0,0
14,UG2,2019-02-22 17:25:13,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,0,1,0,0,0,0
15,UG2,2019-02-20 06:38:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,1,0,0,0,0,0
16,UG2,2019-02-20 06:23:07,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,0,1,0,0,0,0
17,UG2,2019-02-20 17:52:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,0,1,0,0,0,0
18,UG2,2019-02-18 20:41:55,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,1,0,0,0,0,0
19,UG2,2019-02-20 20:01:37,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,0,1,0,0,0,0
20,UG2,2019-02-18 20:32:38,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,0,1,0,0,0,0
21,UG2,2019-02-20 18:23:37,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_4.jpg,0,1,0,0,0,0
22,UG2,2019-02-18 01:23:56,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_5.jpg,0,0,0,0,0,1
23,UG2,2019-02-19 00:20:36,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_6.jpg,0,1,0,0,0,0
24,UG2,2019-02-20 05:44:04,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_7.jpg,0,1,0,0,1,0
25,UG2,2019-02-22 17:16:49,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_0.jpg,0,1,0,0,0,0
26,UG2,2019-02-16 22:55:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_1.jpg,1,0,0,0,0,0
