,username,timestamp,imagename,cored,diffuse,CAA,negative,flag,notsure
0,NP3,2019-01-30 17:47:42,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0,0,0,0,0,1
1,NP3,2019-01-27 15:29:58,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0,1,0,0,0,0
2,NP3,2019-01-28 17:37:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0,0,1,0,0,0
3,NP3,2019-02-01 16:41:04,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0,1,0,0,0,0
4,NP3,2019-02-05 17:55:24,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0,1,0,0,0,0
5,NP3,2019-01-29 18:12:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0,0,1,0,0,0
6,NP3,2019-02-06 17:41:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0,1,0,0,0,0
7,NP3,2019-02-03 15:51:13,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0,0,0,0,0,1
8,NP3,2019-01-28 17:12:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0,1,0,0,0,0
9,NP3,2019-02-04 17:28:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0,0,1,0,0,0
10,NP3,2019-02-03 15:50:47,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,0,1,1,0,1,0
11,NP3,2019-01-28 17:17:42,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,0,1,1,0,1,0
12,NP3,2019-02-08 15:03:52,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,0,1,0,0,0,0
13,NP3,2019-02-01 16:11:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,0,1,0,0,0,0
14,NP3,2019-02-19 14:35:08,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,0,1,0,0,0,0
15,NP3,2019-02-07 16:28:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,0,1,0,0,0,0
16,NP3,2019-02-06 17:17:22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,0,1,0,0,0,0
17,NP3,2019-02-08 15:53:03,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,0,1,0,0,0,0
18,NP3,2019-02-04 17:27:26,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,0,1,0,0,0,0
19,NP3,2019-02-14 16:23:47,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,0,1,0,0,0,0
20,NP3,2019-02-04 17:04:45,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,0,1,0,0,0,0
21,NP3,2019-02-12 19:46:56,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_4.jpg,0,1,0,0,0,0
22,NP3,2019-02-03 15:42:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_5.jpg,0,0,0,0,0,1
23,NP3,2019-02-05 16:03:47,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_6.jpg,0,1,0,0,0,0
24,NP3,2019-02-06 10:49:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_7.jpg,0,1,0,0,0,0
25,NP3,2019-02-19 14:08:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_0.jpg,0,1,0,0,0,0
26,NP3,2019-01-28 17:18:19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_1.jpg,1,0,0,0,0,0
27,NP3,2019-02-04 17:15:32,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_10.jpg,0,1,0,0,0,0
28,NP3,2019-02-05 18:55:18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_11.jpg,0,1,0,0,0,0
29,NP3,2019-01-30 17:26:52,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_13.jpg,0,1,0,0,0,0
30,NP3,2019-02-05 18:11:12,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_14.jpg,0,1,0,0,0,0
31,NP3,2019-02-19 14:41:44,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_15.jpg,0,0,0,0,0,1
32,NP3,2019-02-05 16:57:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_19.jpg,0,1,0,0,0,0
33,NP3,2019-02-06 17:28:39,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_2.jpg,0,1,0,0,0,0
34,NP3,2019-02-03 16:05:15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_21.jpg,0,1,0,0,0,0
35,NP3,2019-02-19 15:25:06,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_4.jpg,0,1,0,0,0,0
36,NP3,2019-01-28 17:14:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_5.jpg,0,1,0,0,0,0
37,NP3,2019-02-11 12:13:07,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_6.jpg,0,1,0,0,0,0
38,NP3,2019-02-13 19:25:39,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_9.jpg,0,1,0,0,0,0
39,NP3,2019-02-18 16:32:34,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_0.jpg,0,1,0,0,0,0
40,NP3,2019-02-19 15:31:06,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_10.jpg,0,1,0,0,0,0
41,NP3,2019-02-04 18:07:08,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_13.jpg,0,0,0,0,0,1
42,NP3,2019-02-08 14:51:08,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_14.jpg,0,1,0,0,0,0
43,NP3,2019-02-06 16:16:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_15.jpg,0,1,0,0,0,0
44,NP3,2019-01-27 15:22:29,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_16.jpg,0,1,0,0,0,0
45,NP3,2019-02-05 17:13:40,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_17.jpg,0,1,0,0,0,0
46,NP3,2019-02-04 17:41:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_20.jpg,0,0,1,0,0,0
47,NP3,2019-02-03 15:45:00,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_22.jpg,0,1,0,0,0,0
48,NP3,2019-02-14 16:37:17,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_23.jpg,0,1,0,0,0,0
49,NP3,2019-02-05 16:29:32,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_24.jpg,0,0,0,0,0,1
50,NP3,2019-02-14 16:18:22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_25.jpg,0,1,0,0,0,0
51,NP3,2019-02-05 13:57:44,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_28.jpg,0,1,0,0,0,0
52,NP3,2019-01-30 17:51:35,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_29.jpg,0,1,0,0,0,0
53,NP3,2019-02-08 13:08:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_31.jpg,0,1,0,0,0,0
54,NP3,2019-02-05 16:07:23,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_34.jpg,0,0,0,0,0,1
55,NP3,2019-01-27 14:44:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_35.jpg,0,1,0,0,0,0
56,NP3,2019-02-03 13:31:07,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_37.jpg,0,1,0,0,0,0
57,NP3,2019-01-27 15:08:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_38.jpg,0,1,0,0,0,0
58,NP3,2019-02-19 15:50:34,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_39.jpg,0,1,0,0,0,0
