,imagename,username,cored,diffuse,CAA,negative,flag,notsure
0,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,consensus_of_3,0,0,0,1,0,0
1,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,consensus_of_3,0,1,0,0,0,0
2,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,consensus_of_3,0,0,1,0,0,0
3,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,consensus_of_3,0,1,0,0,0,0
4,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,consensus_of_3,0,1,0,0,0,0
5,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,consensus_of_3,0,0,1,0,0,0
6,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,consensus_of_3,0,1,0,0,0,0
7,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,consensus_of_3,0,1,0,0,0,0
8,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,consensus_of_3,0,1,0,0,0,0
9,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,consensus_of_3,0,0,1,0,0,0
10,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,consensus_of_3,0,1,1,0,1,0
11,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,consensus_of_3,0,1,1,0,1,0
12,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,consensus_of_3,0,1,0,0,0,0
13,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,consensus_of_3,0,1,0,0,0,0
14,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,consensus_of_3,0,1,0,0,0,0
15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,consensus_of_3,0,1,0,0,0,0
16,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,consensus_of_3,0,1,0,0,0,0
17,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,consensus_of_3,0,1,0,0,0,0
18,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,consensus_of_3,0,1,0,0,0,0
19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,consensus_of_3,0,1,0,0,0,0
20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,consensus_of_3,0,1,0,0,0,0
21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_4.jpg,consensus_of_3,0,1,0,0,0,0
22,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_5.jpg,consensus_of_3,0,0,0,0,0,1
23,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_6.jpg,consensus_of_3,0,1,0,0,0,0
24,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_7.jpg,consensus_of_3,0,1,0,0,1,0
