,Unnamed: 0,username,timestamp,sourcetile,imagename,cored,diffuse,CAA,negative,flag,notsure,source
0,0,NP3,2019-01-30 17:47:42,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0.0,0.0,0.7177280550774526,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
1,1,NP3,2019-01-27 15:29:58,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0.0,1.34190188172043,1.1806115591397848,0.0,0.3419018817204301,0.0,47-3_UTSW_temporal_6E10
2,2,NP3,2019-01-28 17:37:18,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0.0,1.3925818311195446,2.4418077432486833,0.0,1.2554850569259959,0.0,47-3_UTSW_temporal_6E10
3,3,NP3,2019-02-01 16:41:04,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
4,4,NP3,2019-02-05 17:55:24,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0.0,1.045556265984655,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
5,5,NP3,2019-01-29 18:12:48,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0.0,0.0,1.0,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
6,6,NP3,2019-02-06 17:41:29,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
7,7,NP3,2019-02-03 15:51:13,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0.0,0.0,0.0,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
8,8,NP3,2019-01-28 17:12:18,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
9,9,NP3,2019-02-04 17:28:09,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0.0,1.6174965475766214,2.262887939582232,0.0,1.193583504098361,0.0,47-3_UTSW_temporal_6E10
10,10,NP3,2019-02-03 15:50:47,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,0.0,1.7687089219611694,2.8306425604069045,0.0,1.6885245901639343,0.0,47-3_UTSW_temporal_6E10
11,11,NP3,2019-01-28 17:17:42,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,0.0,1.4947076612903225,3.0160046180711504,0.0,1.4947076612903225,0.0,47-3_UTSW_temporal_6E10
12,12,NP3,2019-02-08 15:03:52,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,0.0,2.677345537757437,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
13,13,NP3,2019-02-01 16:11:09,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
14,14,NP3,2019-02-19 14:35:08,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,0.0,2.4782608695652173,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
15,15,NP3,2019-02-07 16:28:57,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
16,16,NP3,2019-02-06 17:17:22,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,0.0,1.7536940190259132,0.5870903035091544,0.0,0.30105426747311825,0.0,47-3_UTSW_temporal_6E10
17,17,NP3,2019-02-08 15:53:03,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
18,18,NP3,2019-02-04 17:27:26,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
19,19,NP3,2019-02-14 16:23:47,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
20,20,NP3,2019-02-04 17:04:45,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
