,username,timestamp,sourcetile,imagename,cored,diffuse,CAA,negative,flag,notsure,source
0,NP1,2019-03-10 00:43:14,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0.0,0.0,0.7177280550774526,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
1,NP1,2019-03-09 16:08:19,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0.0,1.34190188172043,1.1806115591397848,0.0,0.3419018817204301,0.0,47-3_UTSW_temporal_6E10
2,NP1,2019-03-09 20:17:48,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0.0,1.3925818311195446,2.4418077432486838,0.0,1.255485056925996,0.0,47-3_UTSW_temporal_6E10
3,NP1,2019-03-10 01:27:13,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
4,NP1,2019-03-11 23:27:24,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0.0,1.0455562659846551,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
5,NP1,2019-03-09 23:46:09,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0.0,0.0,1.0,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
6,NP1,2019-03-13 00:18:59,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
7,NP1,2019-03-10 14:31:19,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
8,NP1,2019-03-09 17:21:34,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
9,NP1,2019-03-10 18:17:31,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0.0,1.6174965475766214,2.262887939582232,0.0,1.193583504098361,0.0,47-3_UTSW_temporal_6E10
