,Unnamed: 0,username,timestamp,sourcetile,imagename,cored,diffuse,CAA,negative,flag,notsure,source
0,0,UG2,2019-02-17 21:57:40,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0.0,0.0,0.7177280550774526,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
1,1,UG2,2019-02-16 19:27:21,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0.0,1.34190188172043,1.1806115591397848,0.0,0.3419018817204301,0.8387096774193549,47-3_UTSW_temporal_6E10
2,2,UG2,2019-02-17 00:10:44,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0.0,1.3925818311195446,2.4418077432486833,0.0,1.2554850569259959,1.0,47-3_UTSW_temporal_6E10
3,3,UG2,2019-02-17 23:24:40,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
4,4,UG2,2019-02-19 23:19:59,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0.0,1.045556265984655,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
5,5,UG2,2019-02-17 21:21:46,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0.0,0.0,1.0,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
6,6,UG2,2019-02-20 06:35:39,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
7,7,UG2,2019-02-18 01:59:43,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
8,8,UG2,2019-02-16 20:10:42,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
9,9,UG2,2019-02-18 20:45:59,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0.0,1.6174965475766214,2.262887939582232,0.0,1.193583504098361,0.06930443548387097,47-3_UTSW_temporal_6E10
10,10,UG2,2019-02-18 01:59:15,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,0.0,1.7687089219611694,2.8306425604069045,0.0,1.6885245901639343,0.671875,47-3_UTSW_temporal_6E10
11,11,UG2,2019-02-16 22:53:57,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,0.0,1.4947076612903225,3.0160046180711504,0.0,1.4947076612903225,0.935483870967742,47-3_UTSW_temporal_6E10
12,12,UG2,2019-02-20 17:33:22,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,0.0,2.677345537757437,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
13,13,UG2,2019-02-17 22:20:21,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
14,14,UG2,2019-02-22 17:25:13,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,0.0,2.4782608695652173,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
15,15,UG2,2019-02-20 06:38:57,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,1.0,0.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
16,16,UG2,2019-02-20 06:23:07,47-3_UTSW_temporal_6E10_0_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,0.0,1.7536940190259132,0.5870903035091544,0.0,0.30105426747311825,0.0,47-3_UTSW_temporal_6E10
17,17,UG2,2019-02-20 17:52:48,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
18,18,UG2,2019-02-18 20:41:55,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,1.0,0.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
19,19,UG2,2019-02-20 20:01:37,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,0.0,1.1666666666666667,0.0,0.0,0.16666666666666666,0.0,47-3_UTSW_temporal_6E10
20,20,UG2,2019-02-18 20:32:38,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
21,21,UG2,2019-02-20 18:23:37,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_4.jpg,0.0,1.0,0.0,0.0,0.0,0.9196428571428572,47-3_UTSW_temporal_6E10
22,22,UG2,2019-02-18 01:23:56,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_5.jpg,0.0,1.0,0.0,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
23,23,UG2,2019-02-19 00:20:36,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
24,24,UG2,2019-02-20 05:44:04,47-3_UTSW_temporal_6E10_0_19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_7.jpg,0.0,1.0,0.0,0.0,1.0,0.0,47-3_UTSW_temporal_6E10
25,25,UG2,2019-02-22 17:16:49,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_0.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
26,26,UG2,2019-02-16 22:55:09,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_1.jpg,1.0,0.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
27,27,UG2,2019-02-18 20:38:38,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_10.jpg,0.0,3.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
28,28,UG2,2019-02-20 00:48:14,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_11.jpg,0.0,3.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
29,29,UG2,2019-02-17 21:54:20,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_13.jpg,0.0,3.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
30,30,UG2,2019-02-19 23:26:52,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_14.jpg,0.0,2.9038461538461537,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
31,31,UG2,2019-02-22 17:27:45,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_15.jpg,0.0,0.0,0.0,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
32,32,UG2,2019-02-19 01:26:52,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_19.jpg,0.0,2.041176470588235,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
33,33,UG2,2019-02-20 06:32:04,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_2.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
34,34,UG2,2019-02-18 02:22:47,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_21.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
35,35,UG2,2019-02-22 17:37:04,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_4.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
36,36,UG2,2019-02-16 20:11:51,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_5.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
37,37,UG2,2019-02-20 17:54:56,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_6.jpg,0.0,3.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
38,38,UG2,2019-02-20 18:41:01,47-3_UTSW_temporal_6E10_0_20,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_9.jpg,0.0,3.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
39,39,UG2,2019-02-22 17:04:23,47-3_UTSW_temporal_6E10_11_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_0.jpg,0.0,1.2188777828259882,0.0,0.0,0.0,0.9481481481481482,47-3_UTSW_temporal_6E10
40,40,UG2,2019-02-22 17:39:17,47-3_UTSW_temporal_6E10_11_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_10.jpg,0.0,1.5915492957746482,0.0,0.0,0.0,0.7203389830508474,47-3_UTSW_temporal_6E10
41,41,UG2,2019-02-18 21:44:37,47-3_UTSW_temporal_6E10_11_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_13.jpg,0.0,0.6848729227761485,0.2790697674418605,0.0,0.0,1.0848214285714286,47-3_UTSW_temporal_6E10
42,42,UG2,2019-02-20 17:30:02,47-3_UTSW_temporal_6E10_11_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_14.jpg,0.0,1.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
43,43,UG2,2019-02-20 06:22:17,47-3_UTSW_temporal_6E10_11_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_15.jpg,0.0,2.0,0.0,0.0,0.0,0.0,47-3_UTSW_temporal_6E10
44,44,UG2,2019-02-16 19:21:56,47-3_UTSW_temporal_6E10_11_15,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_16.jpg,0.0,1.0,1.0,0.0,0.0,1.0,47-3_UTSW_temporal_6E10
